Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470nF","C_0805_2012Metric",8.255000,-27.940000,0.000000,top
"C2","47uF","CP_Elec_5x5.3",20.193000,-22.098000,270.000000,top
"C3","1uF","C_0805_2012Metric",19.558000,-3.302000,180.000000,top
"C4","10uF","CP_Elec_4x5.4",13.462000,-3.810000,0.000000,top
"C5","10nF","C_0805_2012Metric",11.684000,-63.627000,0.000000,top
"C6","10nF","C_0805_2012Metric",20.574000,-63.627000,0.000000,top
"C7","10nF","C_0805_2012Metric",29.464000,-63.627000,0.000000,top
"C8","10nF","C_0805_2012Metric",38.354000,-63.627000,0.000000,top
"C9","10nF","C_0805_2012Metric",47.244000,-63.627000,0.000000,top
"C10","10nF","C_0805_2012Metric",56.134000,-63.627000,0.000000,top
"C11","10nF","C_0805_2012Metric",65.024000,-63.627000,0.000000,top
"C12","10nF","C_0805_2012Metric",73.914000,-63.627000,0.000000,top
"C13","10nF","C_0805_2012Metric",64.135000,-51.181000,270.000000,top
"C14","18pF","C_0805_2012Metric",39.624000,-38.989000,270.000000,top
"C15","18pF","C_0805_2012Metric",54.991000,-38.481000,270.000000,top
"D2","9V","D_SOD-323",17.272000,-12.112000,90.000000,top
"D3","3.3V","D_SOD-123",60.452000,-18.034000,90.000000,top
"D4","3.3V","D_SOD-123",64.135000,-18.034000,90.000000,top
"D5","3.3V","D_SOD-123",56.997600,-18.034000,90.000000,top
"L1","150","L_0805_2012Metric",10.464800,-66.624200,270.000000,top
"L2","150","L_0805_2012Metric",19.304000,-66.675000,270.000000,top
"L3","150","L_0805_2012Metric",28.194000,-66.675000,270.000000,top
"L4","150","L_0805_2012Metric",37.084000,-66.675000,270.000000,top
"L5","150","L_0805_2012Metric",45.974000,-66.675000,270.000000,top
"L6","150","L_0805_2012Metric",54.864000,-66.675000,270.000000,top
"L7","150","L_0805_2012Metric",63.754000,-66.675000,270.000000,top
"L8","150","L_0805_2012Metric",72.644000,-66.675000,270.000000,top
"L9","150","L_0805_2012Metric",12.954000,-66.624200,90.000000,top
"L10","150","L_0805_2012Metric",21.844000,-66.675000,90.000000,top
"L11","150","L_0805_2012Metric",30.734000,-66.675000,90.000000,top
"L12","150","L_0805_2012Metric",39.624000,-66.675000,90.000000,top
"L13","150","L_0805_2012Metric",48.514000,-66.675000,90.000000,top
"L14","150","L_0805_2012Metric",57.404000,-66.675000,90.000000,top
"L15","150","L_0805_2012Metric",66.294000,-66.675000,90.000000,top
"L16","150","L_0805_2012Metric",75.184000,-66.675000,90.000000,top
"Q1","BS250","TSOT-23",22.606000,-6.858000,180.000000,top
"R1","10K","R_0805_2012Metric",18.796000,-6.858000,90.000000,top
"R2","10K","R_0805_2012Metric",8.255000,-30.480000,180.000000,top
"R3","220R","R_0805_2012Metric",57.785000,-23.495000,90.000000,top
"R4","220R","R_0805_2012Metric",54.737000,-23.495000,90.000000,top
"R5","220R","R_0805_2012Metric",50.038000,-18.415000,90.000000,top
"R6","10K","R_0805_2012Metric",14.097000,-36.766500,0.000000,top
"R7","10K","R_0805_2012Metric",14.097000,-38.989000,0.000000,top
"R8","10K","R_0805_2012Metric",35.179000,-39.116000,90.000000,top
"R9","10K","R_0805_2012Metric",72.136000,-32.004000,90.000000,top
"U1","LM3940","SOT-223",12.827000,-21.844000,90.000000,top
"U15","DS1307+","SOIC-8_3.9x4.9mm_P1.27mm",19.685000,-31.877000,0.000000,top
